ds,max_temp_c,rainfall_mm,is_holiday,google_dengue_searches,er_trauma_admissions,elective_surgeries_scheduled_14d_adv,O_positive,A_positive,B_positive,AB_positive,A_negative,B_negative,O_negative,AB_negative
2018-01-01,21.6161409267163,0.4387787783924926,0,11.253335613126662,3.9447916750517305,40.07378530150417,125,95,87,36,12,10,20,4
2018-01-02,20.903342791479727,0.9287004997642834,0,1.6660516622359278,0.3675413840133762,41.02927809568664,132,104,91,37,12,10,20,4
2018-01-03,21.614130514853844,0.8665018646180558,0,3.711604735671108,0.9579698395149755,38.624116635729436,125,96,86,35,11,10,20,4
2018-01-04,22.416983555465865,1.5993837240055824,0,4.386563680618383,2.7576712482318033,45.01497397542348,125,98,88,35,12,10,20,4
2018-01-05,20.590010364682726,1.4789493077682268,0,5.157285072896897,4.735441623763475,39.777059009097606,127,102,90,36,12,10,20,4
2018-01-06,20.522955821119886,0.8526365879814026,0,11.308067839010086,0.3737892336089016,40.574807605571316,72,57,52,20,7,5,11,2
2018-01-07,22.271973505127598,0.6674084151512598,0,10.07931559650787,0.21542108078432154,43.836197804928254,64,51,45,19,6,5,10,2
2018-01-08,21.398621266198596,0.6329375681229972,0,4.063200767284179,0.7827533746392784,41.00931923142541,124,98,85,34,11,10,20,4
2018-01-09,20.10291418016084,1.547990174588018,0,1.3510968691137415,3.2057656443007825,41.638865771993245,129,96,88,36,12,10,19,4
2018-01-10,21.05894424346425,0.10414481244253948,0,3.4286440894943615,1.9949645833512357,41.149554800236515,131,100,90,36,12,10,20,4
2018-01-11,19.99977234088308,0.025643299021211652,0,19.687626252372066,4.1277618970884316,41.33260234231799,129,100,90,36,12,10,20,4
2018-01-12,19.94709207655678,1.591088783853296,0,9.370938995829444,0.35966575740682905,42.792049020342375,133,99,92,37,12,10,20,4
2018-01-13,20.607256785924545,0.9542927519780986,0,17.34691009404225,0.9820704340735054,43.32510150843787,69,53,46,18,6,5,10,2
2018-01-14,18.407341925101562,0.26176227710715194,0,16.975049333376866,1.5001320273244785,41.10023079763437,66,52,45,19,6,5,10,2
2018-01-15,18.553900201196353,0.4711318691890025,0,10.230391149257475,3.1336504334439264,41.02137203886801,127,99,89,35,11,10,20,4
2018-01-16,19.677606964435345,1.865007906194765,0,14.13375416921087,3.425863451507736,41.501309397625924,132,99,91,36,12,10,21,4
2018-01-17,19.191031963210676,1.719005951249796,0,3.8550402082542456,0.6210164698188692,40.08231630040655,131,97,88,36,12,10,20,4
2018-01-18,20.48498181279545,1.419570100447945,0,13.767934098538166,4.719023544958698,39.86835172952429,136,102,91,37,12,10,20,4
