ds,max_temp_c,rainfall_mm,is_holiday,google_dengue_searches,er_trauma_admissions,elective_surgeries_scheduled_14d_adv,O_positive,A_positive,B_positive,AB_positive,A_negative,B_negative,O_negative,AB_negative
2018-01-01,21.367783850210685,0.2193893891962463,0,10.771421681062904,5,52.10851382602073,180,134,124,45,22,18,27,9
2018-01-02,20.97247494206532,0.4643502498821417,0,8.380219801821184,5,50.78757085868737,190,143,130,48,24,19,28,10
2018-01-03,21.2902862458035,0.4332509323090279,0,12.838071222734527,5,51.10875814296544,188,143,130,48,24,19,29,9
2018-01-04,21.65546862726185,0.7996918620027912,0,10.586704072645967,5,50.77867918391873,191,144,131,47,24,19,28,10
2018-01-05,20.707087052044397,0.7394746538841134,0,11.459638724535262,5,50.254538817963855,192,142,130,48,24,19,29,9
2018-01-06,20.640024299594476,0.4263182939907013,0,12.783841775359837,5,52.41750376260653,101,75,69,25,12,10,15,5
2018-01-07,21.482367097373903,0.3337042075756299,0,10.043777642329669,5,53.33068623480844,100,76,69,25,13,10,15,5
2018-01-08,21.01490390162214,0.3164687840614986,0,10.63390401396823,5,54.53155376715929,190,143,131,48,24,19,29,9
2018-01-09,20.337651373128317,0.773995087294009,0,11.620054477012232,5,51.60922398210737,190,142,131,47,24,19,28,10
2018-01-10,20.787664221671267,0.05207240622126974,0,8.550277832399896,5,53.15723227751391,190,142,131,48,24,19,29,10
2018-01-11,20.23148118728931,0.012821649510605826,0,10.108103325692001,5,54.12492665552465,190,143,130,48,24,19,29,10
2018-01-12,20.179956953341907,0.795544391926648,0,10.251097173302297,5,55.124131648142274,189,142,130,47,24,19,29,10
2018-01-13,20.486275650141526,0.4771463759890493,0,8.08788289663321,5,55.40300413357571,101,76,69,25,12,10,15,5
2018-01-14,19.36398204743046,0.13088113855357597,0,14.635273577347757,5,55.845130464461484,99,75,69,25,13,10,15,5
2018-01-15,19.416359117452867,0.23556593459450126,0,7.185413113015195,5,56.79192843647462,195,146,134,48,24,19,29,10
2018-01-16,19.95875072905583,0.9325039530973825,0,7.403792192625684,5,55.89566082757353,192,144,131,48,24,19,29,10
2018-01-17,19.69744752337789,0.859502975624898,0,12.628453151407157,5,58.14620226424892,194,144,133,48,24,19,29,10
2018-01-18,20.327858146497814,0.7097850502239725,0,11.426532501593085,5,58.05648305810671,192,145,132,48,24,19,29,10
2018-01-19,19.686506462601088,0.48222523033732656,0,7.948070365038444,5,57.711909278181025,190,143,132,48,24,19,29,10
2018-01-20,19.407072247008948,0.5203236261913857,0,11.214578030203386,5,60.038980481741746,100,75,69,26,13,10,15,5
2018-01-21,20.82168374452623,0.9752445352839586,0,12.935700889994619,5,60.39831908998105,101,76,69,25,13,10,15,5
2018-01-22,19.95454335708259,0.9657704438842871,0,9.939473884806029,5,60.176008927460636,198,150,138,50,25,20,30,10
2018-01-23,20.082710991336985,0.21526904578583428,0,15.197645800149164,5,56.62302838552238,193,144,133,48,24,19,29,10
2018-01-24,19.32103688935157,0.8111045663053181,0,6.551876378263929,5,61.6161448228673,195,147,136,49,25,20,29,10
2018-01-25,19.748637029083486,0.1972426661670168,0,11.387646907718205,5,61.22459858777986,198,148,137,49,25,20,30,10
2018-01-26,20.066664139004597,0.2135374778839514,1,12.333056672442007,5,62.825798451473716,101,76,70,25,13,10,15,5
2018-01-27,19.429040404415275,0.6760930341645768,0,11.782687803210493,5,62.443198135243804,102,75,69,26,13,10,15,5
2018-01-28,20.188682422625458,0.4050010985875484,0,9.591288546708704,5,63.167099450068555,100,75,69,25,13,10,15,5
2018-01-29,19.699773257678697,0.9315444071065202,0,9.4191170359777,5,62.847000853075095,204,152,139,51,25,20,31,10
2018-01-30,19.856468105304454,0.08900973489600883,0,10.888290342174514,5,63.69308195264494,202,151,139,50,25,20,30,10
2018-01-31,19.706646581488467,0.511525640809493,0,11.63150897330414,5,64.71089733703705,206,156,143,52,26,21,31,10
2018-02-01,20.94178488069883,0.9185215304431212,0,11.204946872564726,5,63.30194492251697,206,155,142,52,26,21,31,10
2018-02-02,20.02000165654948,0.9041136604795051,0,12.080115781586779,5,61.87789874437936,205,155,142,51,26,21,31,10
2018-02-03,19.51195457405026,0.15652921341574122,0,7.96226008586653,5,63.503421929175346,102,77,71,26,12,10,16,5
2018-02-04,20.469093387112075,0.36663770009645646,0,9.54445804175273,5,64.55748950666138,102,77,70,26,13,10,16,5
2018-02-05,19.467356080835167,0.6191214000466962,0,8.119968135752492,5,64.59489442071657,211,158,145,53,26,21,32,11
2018-02-06,20.205106846628848,0.15939488477140218,0,9.227774447827716,5,63.62160520785965,205,153,140,51,25,20,31,10
2018-02-07,19.14667051412025,0.9680221720457387,0,12.03044178362861,5,63.580854127683175,213,160,147,53,27,21,32,11
2018-02-08,19.49116880802986,0.9147493287276603,0,10.215967841450457,5,64.81000604238686,213,160,146,53,26,21,32,11
2018-02-09,20.285365915218467,0.16695017903446918,0,15.213718326299539,5,66.6935470782386,216,162,148,53,27,22,32,11
2018-02-10,20.590749874941135,0.12115546126098542,0,10.386812734379435,5,67.79607879669751,102,77,70,26,13,10,16,5
2018-02-11,20.344679588870783,0.0854084828082653,0,10.119383761159472,5,67.45743306983466,104,77,72,26,13,10,15,5
2018-02-12,20.241536640290807,0.9094436640366311,0,10.212365838880432,5,67.91851775793778,214,162,149,54,27,22,33,11
2018-02-13,20.192048775656808,0.1936238097954608,1,8.724382614280128,5,67.09550360742811,103,78,70,26,13,10,16,5
2018-02-14,19.64944116609328,0.4162849285443547,0,9.884326775244812,5,65.74437571858522,220,165,150,55,28,22,33,11
2018-02-15,20.07772962988359,0.448851365652003,0,12.255576054223292,5,67.33619497616165,217,162,149,54,27,22,33,11
2018-02-16,20.25911545156857,0.5990110442135675,0,10.227941336255544,5,67.83233654552544,214,161,148,54,27,21,32,11
2018-02-17,21.072597238838032,0.07173534374742496,0,8.413080540233057,5,67.88837308726396,103,77,71,26,13,10,15,5
2018-02-18,20.773248565365275,0.22675861740051595,0,8.149830759042729,5,68.7289970577885,104,78,72,26,13,10,16,5
2018-02-19,19.780107634089383,0.931490386918926,0,9.099596216668314,5,69.39906497185702,220,166,151,55,27,22,33,11
2018-02-20,20.88662514890543,0.9084101072685695,0,10.14772686882176,5,70.08838586034194,217,164,150,55,27,22,32,11
2018-02-21,20.597745982625497,0.7812906474056922,0,12.387173070952525,5,69.22927641240305,218,163,150,55,27,22,33,11
2018-02-22,20.520259117993685,0.019401245618215435,0,7.319022717267126,5,67.86988201327483,220,164,151,55,28,22,33,11
2018-02-23,21.235700016394077,0.3270067684961021,0,9.360347444222487,5,69.55114948507577,224,168,154,56,28,22,33,11
2018-02-24,21.519191064725543,0.6279587353429078,0,10.288620038870159,5,70.33218687217601,105,78,72,26,13,10,15,5
2018-02-25,21.545826594962612,0.2751902117734757,0,6.33258846474113,5,71.75972175469377,102,77,71,26,13,10,16,5
2018-02-26,20.739716138955046,0.9095866950537773,0,8.332803434067188,5,70.21145781696109,226,171,157,57,28,23,34,11
2018-02-27,21.08647676063196,0.6338894618324419,0,8.640222920527627,5,71.52800376926136,223,169,155,56,28,22,34,11
