ds,max_temp_c,rainfall_mm,is_holiday,O_positive,A_positive,B_positive,AB_positive,A_negative,B_negative,O_negative,AB_negative
2018-01-01,21.6161409267163,1.4569878676948804,0,68,51,42,16,5,5,9,2
2018-01-02,20.903342791479727,0.3993394760812934,0,70,47,41,17,5,4,9,2
2018-01-03,21.614130514853844,0.7425418410107876,0,62,50,46,16,5,4,8,2
2018-01-04,22.416983555465865,1.0033983320128497,0,68,51,40,17,6,5,9,2
2018-01-05,20.590010364682726,1.4509363369003256,0,49,39,35,14,5,4,7,2
2018-01-06,20.522955821119886,0.22646244651825076,0,51,41,36,13,4,3,7,2
2018-01-07,22.271973505127598,137.2760531023866,0,50,40,36,14,4,3,7,2
2018-01-08,21.398621266198596,0.9701458182853908,0,68,51,44,16,6,4,9,2
2018-01-09,20.10291418016084,1.0816541279430794,0,66,50,44,17,5,4,9,2
2018-01-10,21.05894424346425,1.6367212827904334,0,66,50,39,16,5,4,8,2
2018-01-11,19.99977234088308,0.3433563900864338,0,63,53,44,15,5,4,9,2
2018-01-12,19.94709207655678,1.6156629036532446,0,53,42,32,13,5,4,7,2
2018-01-13,20.607256785924545,1.3857568553933044,0,52,39,37,13,5,3,7,2
2018-01-14,18.407341925101562,1.1117416283979187,0,55,40,35,15,4,4,7,2
2018-01-15,18.553900201196353,1.3990557408051438,0,63,49,40,17,6,4,9,2
2018-01-16,19.677606964435345,0.8240354779033128,0,70,50,42,18,5,5,9,2
2018-01-17,19.191031963210676,0.27679517193624914,0,61,55,43,18,6,4,9,2
2018-01-18,20.48498181279545,1.3315304805307346,0,64,50,46,16,5,5,9,2
2018-01-19,19.232494424840482,1.0493446133712445,0,59,36,36,13,5,4,8,2
2018-01-20,18.700920396341303,1.278749601085551,0,53,39,37,13,4,4,8,2
2018-01-21,21.554508128987006,0.67599756205698,0,160,119,112,40,14,11,21,5
2018-01-22,19.84165520683932,1.8137331546796718,0,67,49,44,15,5,4,9,2
2018-01-23,20.116475093680947,1.1747397371511539,0,65,45,46,16,6,4,9,2
2018-01-24,18.608662796244843,0.17080496858174765,0,93,70,65,23,8,7,13,3
2018-01-25,19.476445666820897,0.8996079814088573,0,63,46,41,16,6,4,9,2
2018-01-26,20.12212543385953,1.5127121094872686,1,42,26,26,10,3,2,5,1
