ds,max_temp_c,rainfall_mm,is_holiday,O_positive,A_positive,B_positive,AB_positive,O_negative,A_negative,B_negative,AB_negative
2018-01-01,22.112855079727535,2.607541593508799,0,45,38,33,10,4,4,1,1
2018-01-02,20.76507849030854,0.44546161810964907,0,44,39,47,15,1,4,1,1
2018-01-03,22.261819052954536,0.9281096625827293,0,44,42,45,11,5,5,3,0
2018-01-04,23.94001341187389,1.3931026000370488,0,48,38,41,17,6,4,1,3
2018-01-05,20.355856989959392,2.585376125650853,0,60,46,42,8,5,0,2,3
2018-01-06,20.288818864170704,0.24034202153455467,0,29,24,22,10,3,3,0,0
2018-01-07,23.85118632063499,123.96962657135818,0,46,43,53,17,4,5,4,2
2018-01-08,22.166055995351503,1.3274599189828142,0,40,35,46,13,5,6,6,1
2018-01-09,19.63343979422589,1.5566567458677971,0,46,24,36,14,1,4,5,0
2018-01-10,21.601504287050215,3.4114642077856487,0,58,35,35,13,6,4,0,0
2018-01-11,19.53635464807062,0.3767070935471425,0,53,56,43,12,4,4,4,2
2018-01-12,19.481362322986524,3.2987648739481794,0,42,45,32,21,8,3,2,2
2018-01-13,20.84921905749058,2.361023217589068,0,26,19,33,9,1,3,2,0
2018-01-14,16.494061680443764,1.6232795997178475,0,32,28,28,8,1,2,2,0
2018-01-15,16.82898236868332,2.4048005521441764,0,49,34,39,10,2,1,3,3
2018-01-16,19.115319435194372,1.0621169996474238,0,50,20,40,9,3,2,1,1
2018-01-17,18.178200842876254,0.2979227026854559,0,42,33,42,6,4,2,3,0
2018-01-18,20.799229145390726,2.1918233188966294,0,40,38,35,10,3,5,4,1
2018-01-19,18.32447034931927,1.4875016642878442,0,53,38,46,8,4,2,2,0
2018-01-20,17.28861669500601,2.0398321772646035,0,33,37,31,6,2,2,1,0
2018-01-21,23.02015689790856,0.8249757634002646,0,36,28,32,4,0,0,0,1
2018-01-22,19.615878906352787,4.747444323398766,0,51,32,34,11,5,4,0,1
2018-01-23,20.18400329836887,1.7704073056756466,0,54,25,42,15,7,0,1,0
2018-01-24,17.183914610031387,0.1785423680426007,0,57,45,52,17,8,10,3,2
2018-01-25,18.932062942295715,1.1949613674133563,0,69,55,43,13,2,4,2,2
2018-01-26,20.233048023569395,2.824094720340436,1,43,33,35,14,4,5,1,1
2018-01-27,17.70255003828182,3.161065071842482,0,38,29,27,6,0,3,0,0
2018-01-28,20.752229450143965,1.3647985051053626,0,41,27,38,7,0,2,0,0
2018-01-29,18.79881522280049,4.502787453396694,0,47,47,37,14,2,4,2,2
2018-01-30,19.41892748061454,0.6230438258424369,0,60,41,43,3,5,3,1,2
2018-01-31,18.804086663144375,1.0572959967249387,0,53,42,42,9,1,4,4,1
2018-02-01,23.720202157462236,4.5773034410551015,0,50,40,46,18,2,6,0,3
2018-02-02,19.999755819442576,4.531671718084647,0,48,43,51,11,4,1,4,3
2018-02-03,17.92538818061641,2.314895924471532,0,32,25,28,7,1,1,1,0
2018-02-04,21.702910755266856,3.917714868895767,0,32,23,30,3,0,2,1,0
2018-02-05,17.636090605878636,0.18592705799239387,0,40,38,34,19,5,1,4,1
2018-02-06,20.51840223913598,4.004886575920747,0,58,29,39,14,4,2,5,1
2018-02-07,16.207165328300587,0.7731490477531832,0,45,47,36,7,4,8,3,2
