ds,max_temp_c,rainfall_mm,is_holiday,google_dengue_searches,er_trauma_admissions,O_positive,A_positive,B_positive,AB_positive,A_negative,B_negative,O_negative,AB_negative
2018-01-01,21.6161409267163,0.4387787783924926,0,11.253335613126662,3.9447916750517305,71,55,48,20,7,6,11,2
2018-01-02,20.903342791479727,0.9287004997642834,0,1.6660516622359278,0.3675413840133762,80,60,58,21,7,6,13,2
2018-01-03,21.614130514853844,0.8665018646180558,0,3.711604735671108,0.9579698395149755,69,54,49,20,7,5,12,2
2018-01-04,22.416983555465865,1.5993837240055824,0,4.386563680618383,2.7576712482318033,80,55,52,20,7,5,11,2
2018-01-05,20.590010364682726,1.4789493077682268,0,5.157285072896897,4.735441623763475,62,45,46,18,6,5,10,2
2018-01-06,20.522955821119886,0.8526365879814026,0,11.308067839010086,0.3737892336089016,66,49,48,19,6,5,9,2
2018-01-07,22.271973505127598,0.6674084151512598,0,10.07931559650787,0.21542108078432154,63,43,41,16,6,4,9,2
2018-01-08,21.398621266198596,0.6329375681229972,0,4.063200767284179,0.7827533746392784,71,54,52,19,6,5,11,2
2018-01-09,20.10291418016084,1.547990174588018,0,1.3510968691137415,3.2057656443007825,73,60,48,21,7,6,11,2
2018-01-10,21.05894424346425,0.10414481244253948,0,3.4286440894943615,1.9949645833512357,76,59,52,21,7,6,11,2
2018-01-11,19.99977234088308,0.025643299021211652,0,19.687626252372066,4.1277618970884316,74,58,53,22,7,6,12,2
2018-01-12,19.94709207655678,1.591088783853296,0,9.370938995829444,0.35966575740682905,67,51,41,18,6,5,11,2
2018-01-13,20.607256785924545,0.9542927519780986,0,17.34691009404225,0.9820704340735054,61,50,44,17,5,4,9,2
2018-01-14,18.407341925101562,0.26176227710715194,0,16.975049333376866,1.5001320273244785,58,45,42,16,6,5,9,2
2018-01-15,18.553900201196353,0.4711318691890025,0,10.230391149257475,3.1336504334439264,72,57,52,21,7,5,11,2
2018-01-16,19.677606964435345,1.865007906194765,0,14.13375416921087,3.425863451507736,75,59,50,21,7,5,12,3
2018-01-17,19.191031963210676,1.719005951249796,0,3.8550402082542456,0.6210164698188692,73,63,51,20,7,6,13,2
2018-01-18,20.48498181279545,1.419570100447945,0,13.767934098538166,4.719023544958698,68,59,49,19,7,5,11,2
2018-01-19,19.232494424840482,0.9644504606746531,0,5.44769158526579,1.7052206759510458,68,53,48,18,6,5,10,2
2018-01-20,18.700920396341303,1.0406472523827714,0,16.641241935083016,3.5658438150014153,65,51,38,18,5,5,9,2
2018-01-21,21.554508128987006,1.9504890705679172,0,1.6744826621781983,2.621038594738494,68,50,47,17,6,5,10,2
2018-01-22,19.84165520683932,1.9315408877685742,0,15.46277345770555,1.113790567735533,69,58,52,20,7,6,12,2
2018-01-23,20.116475093680947,0.43053809157166856,0,1.9987381313723906,4.231141615577055,73,60,50,21,7,6,12,2
2018-01-24,18.608662796244843,1.6222091326106363,0,17.62378473788618,4.091190140959649,111,89,80,32,11,9,19,4
2018-01-25,19.476445666820897,0.3944853323340336,0,6.084090362700074,1.9803592695834504,79,59,55,21,8,6,12,2
2018-01-26,20.12212543385953,0.4270749557679028,1,13.087867296611496,2.943037928469277,36,31,24,10,3,3,5,1
2018-01-27,18.853543615704126,1.3521860683291536,0,9.750045572405597,1.2891284796796987,66,49,46,19,6,5,9,2
2018-01-28,20.376531431798295,0.8100021971750968,0,7.326062905246779,3.449258143731507,61,46,37,17,6,5,10,2
2018-01-29,19.39945391271929,1.8630888142130404,0,12.908836663669929,1.545134063102157,72,62,53,22,7,6,12,3
2018-01-30,19.710621230407817,0.17801946979201766,0,18.95045961102476,4.220393671911174,71,57,52,20,7,6,12,2
2018-01-31,19.40579327537377,1.023051281618986,0,0.8253949474924371,1.0869255213863716,79,62,54,25,7,6,12,2
2018-02-01,21.867923972953296,1.8370430608862425,0,18.377057117662087,0.0740171140923207,74,58,47,21,7,6,12,2
2018-02-02,20.013253044180512,1.8082273209590103,0,12.181633100420271,1.3425402098395922,54,43,42,17,5,4,8,2
2018-02-03,18.98309910957231,0.31305842683148244,0,16.146286015381047,0.9552624322974335,56,48,39,16,6,4,10,2
2018-02-04,20.88036584316367,0.7332754001929129,0,7.6774990686855515,2.541432198624621,61,50,42,18,6,5,10,2
2018-02-05,18.856934255849655,1.2382428000933925,0,9.436859496752275,1.0185164582828814,72,56,53,21,7,6,12,2
2018-02-06,20.309538644131223,0.31878976954280436,0,17.37701503602328,3.815949353597474,68,58,51,20,6,5,11,2
2018-02-07,18.16683545218036,1.9360443440914774,0,8.296959396196462,1.2068531900200197,77,58,57,20,8,6,12,2
2018-02-08,18.827075783580646,1.8294986574553207,0,10.6931913349817,3.5348408995632785,72,59,51,19,6,6,11,2
2018-02-09,20.38379653315303,0.33390035806893836,0,0.4038984616866581,2.89235461506862,62,53,46,18,6,5,9,2
2018-02-10,20.95998316493884,0.24231092252197084,0,3.1719601167608458,4.931249282359421,62,48,44,19,6,5,11,2
2018-02-11,20.430363729465768,0.1708169656165306,0,12.833730159495996,4.999504885046158,103,84,72,29,9,8,16,3
2018-02-12,20.18371249909669,1.8188873280732623,0,14.339538021277543,4.34763041658665,78,65,59,23,7,6,13,3
2018-02-13,20.041496927862163,0.3872476195909216,1,11.652018735689989,3.7999168464937556,55,44,38,15,5,5,8,2
2018-02-14,18.910180170909566,0.8325698570887095,0,2.8662007255122135,1.9322820700028687,77,62,56,21,7,6,13,2
2018-02-15,19.717807525686236,0.897702731304006,0,8.908108571556696,3.766383635656518,76,60,55,21,7,6,11,2
2018-02-16,20.028796066088677,1.198022088427135,0,7.101895327263796,4.783377685397453,68,48,48,19,6,5,10,2
