donation_dates,blood_groups
2022-01-01,O_positive
2022-01-01,B_positive
2022-01-01,O_positive
2022-01-01,O_positive
2022-01-01,A_negative
2022-01-01,O_negative
2022-01-01,A_positive
2022-01-01,O_positive
2022-01-01,A_negative
2022-01-01,A_negative
2022-01-01,A_positive
2022-01-01,O_positive
2022-01-01,A_negative
2022-01-01,B_negative
2022-01-01,O_positive
2022-01-01,O_positive
2022-01-01,A_positive
2022-01-01,O_negative
2022-01-01,O_positive
2022-01-01,A_positive
2022-01-01,B_positive
2022-01-01,O_positive
2022-01-01,A_positive
2022-01-01,O_positive
2022-01-01,O_positive
2022-01-01,A_positive
2022-01-01,O_positive
2022-01-01,A_positive
2022-01-01,A_negative
2022-01-01,A_positive
2022-01-01,O_positive
2022-01-01,O_positive
2022-01-01,A_negative
2022-01-01,A_positive
2022-01-01,B_negative
2022-01-01,O_positive
2022-01-01,A_positive
2022-01-01,O_positive
2022-01-01,O_positive
2022-01-01,A_positive
2022-01-01,A_positive
2022-01-01,O_positive
2022-01-01,B_positive
2022-01-01,B_positive
2022-01-01,O_positive
2022-01-01,O_negative
2022-01-01,A_negative
2022-01-01,A_positive
2022-01-01,O_negative
2022-01-02,O_negative
2022-01-02,O_positive
2022-01-02,A_positive
2022-01-02,B_positive
2022-01-02,A_positive
2022-01-02,A_negative
2022-01-02,O_positive
2022-01-02,O_positive
2022-01-02,B_positive
2022-01-02,O_positive
2022-01-02,O_positive
2022-01-02,O_positive
2022-01-02,A_positive
2022-01-02,O_positive
2022-01-02,A_positive
2022-01-02,A_positive
2022-01-02,B_positive
2022-01-02,A_negative
2022-01-02,A_positive
2022-01-02,O_positive
2022-01-02,O_positive
2022-01-02,B_positive
2022-01-02,A_positive
2022-01-02,B_positive
2022-01-02,O_positive
2022-01-02,A_positive
2022-01-02,O_negative
2022-01-02,O_positive
2022-01-02,A_positive
2022-01-02,O_positive
2022-01-02,O_positive
2022-01-02,A_positive
2022-01-02,A_positive
2022-01-02,A_positive
2022-01-02,O_positive
2022-01-02,O_positive
2022-01-02,AB_positive
2022-01-02,A_positive
2022-01-02,O_positive
2022-01-02,O_positive
2022-01-02,O_positive
2022-01-02,A_negative
2022-01-02,O_positive
2022-01-03,A_negative
2022-01-03,O_positive
2022-01-03,B_positive
2022-01-03,A_positive
2022-01-03,O_positive
2022-01-03,O_positive
2022-01-03,B_negative
2022-01-03,AB_positive
2022-01-03,A_negative
2022-01-03,O_positive
2022-01-03,A_positive
2022-01-03,A_positive
2022-01-03,O_positive
2022-01-03,B_positive
2022-01-03,O_positive
2022-01-03,A_positive
2022-01-04,B_positive
2022-01-04,O_positive
2022-01-04,O_positive
2022-01-04,O_positive
2022-01-04,O_positive
2022-01-04,O_positive
2022-01-04,AB_positive
2022-01-04,O_positive
2022-01-04,B_positive
2022-01-04,B_negative
2022-01-04,O_positive
2022-01-04,A_positive
2022-01-04,A_positive
2022-01-04,A_positive
2022-01-04,O_positive
2022-01-04,O_positive
2022-01-04,A_positive
2022-01-04,A_positive
2022-01-04,A_positive
2022-01-04,A_positive
2022-01-04,O_positive
2022-01-04,O_positive
2022-01-04,O_positive
2022-01-04,B_positive
2022-01-04,O_positive
2022-01-04,A_positive
2022-01-04,A_positive
2022-01-04,B_positive
2022-01-04,A_positive
2022-01-04,O_positive
2022-01-04,A_positive
2022-01-04,O_negative
2022-01-04,O_positive
2022-01-04,A_positive
2022-01-04,O_positive
2022-01-04,O_positive
2022-01-04,A_positive
2022-01-05,O_positive
2022-01-05,O_positive
2022-01-05,O_negative
2022-01-05,A_positive
2022-01-05,O_positive
2022-01-05,O_positive
2022-01-05,O_positive
2022-01-05,O_positive
2022-01-05,B_positive
2022-01-05,O_positive
2022-01-05,A_positive
2022-01-05,O_positive
2022-01-05,O_positive
2022-01-05,O_negative
2022-01-05,A_positive
2022-01-05,A_positive
2022-01-05,O_positive
2022-01-05,O_positive
2022-01-05,A_positive
2022-01-05,A_positive
2022-01-05,A_positive
2022-01-05,O_positive
2022-01-05,A_positive
2022-01-05,O_positive
2022-01-05,O_positive
2022-01-06,O_positive
2022-01-06,A_positive
2022-01-06,A_positive
2022-01-06,B_positive
2022-01-06,O_positive
2022-01-06,O_negative
2022-01-06,O_positive
2022-01-06,O_negative
2022-01-06,B_positive
2022-01-06,O_positive
2022-01-06,O_positive
2022-01-06,O_positive
2022-01-06,B_negative
2022-01-06,A_negative
2022-01-06,O_positive
2022-01-06,A_positive
2022-01-06,A_negative
2022-01-06,O_positive
2022-01-06,A_positive
2022-01-06,A_positive
2022-01-06,O_positive
2022-01-06,A_positive
2022-01-06,A_negative
2022-01-06,O_positive
2022-01-06,A_positive
2022-01-06,O_positive
2022-01-06,O_positive
2022-01-06,O_positive
2022-01-06,A_positive
2022-01-06,O_positive
2022-01-06,AB_positive
2022-01-07,O_positive
2022-01-07,A_positive
2022-01-07,O_positive
2022-01-07,A_positive
2022-01-07,A_positive
2022-01-07,O_negative
2022-01-07,O_positive
2022-01-07,A_positive
2022-01-07,A_positive
2022-01-07,AB_positive
2022-01-07,A_positive
2022-01-07,A_positive
2022-01-07,A_positive
2022-01-07,O_positive
2022-01-07,A_positive
2022-01-07,A_positive
2022-01-07,A_positive
2022-01-07,A_negative
2022-01-07,B_positive
2022-01-07,O_positive
2022-01-07,O_negative
2022-01-07,B_positive
2022-01-07,B_negative
2022-01-07,O_positive
2022-01-07,A_positive
2022-01-07,O_positive
2022-01-07,A_positive
2022-01-07,A_negative
2022-01-07,A_positive
2022-01-07,A_positive
2022-01-08,B_positive
2022-01-08,A_positive
2022-01-08,O_positive
2022-01-08,A_positive
2022-01-08,O_positive
2022-01-08,AB_positive
2022-01-08,A_positive
2022-01-08,A_positive
2022-01-08,O_positive
2022-01-08,A_positive
2022-01-08,A_negative
2022-01-08,O_positive
2022-01-08,A_positive
2022-01-08,A_negative
2022-01-08,A_positive
2022-01-08,O_positive
2022-01-08,O_positive
2022-01-08,A_positive
2022-01-08,A_positive
2022-01-08,A_positive
2022-01-08,A_positive
2022-01-08,B_positive
2022-01-08,O_negative
2022-01-08,O_positive
2022-01-08,A_positive
2022-01-08,A_positive
2022-01-08,AB_positive
2022-01-08,O_positive
2022-01-08,A_negative
2022-01-08,A_positive
2022-01-08,O_positive
2022-01-08,O_positive
2022-01-08,O_positive
2022-01-08,O_positive
2022-01-08,O_negative
2022-01-08,B_negative
2022-01-08,A_positive
2022-01-08,A_positive
2022-01-08,AB_positive
2022-01-08,O_positive
2022-01-08,O_positive
2022-01-08,A_positive
2022-01-08,AB_negative
2022-01-08,A_positive
2022-01-08,A_positive
2022-01-08,O_positive
2022-01-08,A_positive
2022-01-08,A_negative
2022-01-08,A_negative
2022-01-08,A_negative
2022-01-08,A_positive
2022-01-08,A_positive
2022-01-08,O_negative
2022-01-08,B_positive
2022-01-08,O_negative
2022-01-09,O_positive
2022-01-09,A_positive
2022-01-09,O_negative
2022-01-09,O_negative
2022-01-09,A_positive
2022-01-09,A_positive
2022-01-09,A_negative
2022-01-09,A_positive
2022-01-09,O_positive
2022-01-09,A_positive
2022-01-09,O_negative
2022-01-09,A_negative
2022-01-09,A_positive
2022-01-09,O_negative
2022-01-09,A_positive
2022-01-09,O_positive
2022-01-09,A_negative
2022-01-09,O_positive
2022-01-09,O_positive
2022-01-09,A_positive
2022-01-09,O_negative
2022-01-09,O_positive
2022-01-09,A_negative
2022-01-09,B_positive
2022-01-09,O_positive
2022-01-09,B_positive
2022-01-09,O_positive
2022-01-09,B_positive
2022-01-09,B_positive
2022-01-09,A_positive
2022-01-09,O_positive
2022-01-09,O_positive
2022-01-09,A_negative
2022-01-09,A_negative
2022-01-09,O_positive
2022-01-09,A_positive
2022-01-09,A_positive
2022-01-09,A_positive
2022-01-09,A_positive
2022-01-09,O_positive
2022-01-09,O_negative
2022-01-09,A_positive
2022-01-09,O_positive
2022-01-09,O_positive
2022-01-09,O_positive
2022-01-09,O_positive
2022-01-09,O_positive
2022-01-09,AB_positive
2022-01-09,O_positive
2022-01-09,O_positive
2022-01-09,O_positive
2022-01-09,O_positive
2022-01-09,A_positive
2022-01-09,O_positive
2022-01-09,A_positive
2022-01-09,B_positive
2022-01-09,O_positive
2022-01-09,O_positive
2022-01-09,O_positive
2022-01-09,O_positive
2022-01-09,A_positive
2022-01-09,O_positive
2022-01-09,O_positive
2022-01-09,A_positive
2022-01-09,A_positive
2022-01-09,B_positive
2022-01-09,A_positive
2022-01-09,O_negative
2022-01-09,A_negative
2022-01-09,A_positive
2022-01-09,AB_positive
2022-01-09,A_positive
2022-01-10,A_positive
2022-01-10,O_negative
2022-01-10,A_positive
2022-01-10,B_positive
2022-01-10,O_positive
2022-01-10,AB_positive
2022-01-10,A_positive
2022-01-10,O_positive
2022-01-10,A_positive
2022-01-10,A_positive
2022-01-10,O_positive
2022-01-10,A_positive
2022-01-10,O_positive
2022-01-10,A_positive
2022-01-10,O_positive
2022-01-10,O_positive
2022-01-10,A_positive
2022-01-10,O_positive
2022-01-10,AB_positive
2022-01-10,O_positive
2022-01-10,B_positive
2022-01-10,A_positive
2022-01-10,AB_positive
2022-01-10,O_positive
2022-01-10,B_negative
2022-01-10,AB_positive
2022-01-10,A_positive
2022-01-10,AB_negative
2022-01-10,A_positive
2022-01-10,O_negative
2022-01-10,A_positive
2022-01-10,A_positive
2022-01-10,B_positive
2022-01-10,B_positive
2022-01-10,O_positive
2022-01-10,A_positive
2022-01-11,O_positive
2022-01-11,A_positive
2022-01-11,A_positive
2022-01-11,A_positive
2022-01-11,O_positive
2022-01-11,O_positive
2022-01-11,A_positive
2022-01-11,O_positive
2022-01-11,A_positive
2022-01-11,A_positive
2022-01-11,O_negative
2022-01-11,O_positive
2022-01-11,A_positive
2022-01-11,O_positive
2022-01-11,O_positive
2022-01-11,B_positive
2022-01-11,B_negative
2022-01-11,O_positive
2022-01-11,O_positive
2022-01-11,A_positive
2022-01-11,O_positive
2022-01-11,B_positive
2022-01-11,O_negative
2022-01-11,O_positive
2022-01-11,O_positive
2022-01-11,O_positive
2022-01-11,O_positive
2022-01-11,A_negative
2022-01-12,B_negative
2022-01-12,O_positive
2022-01-12,B_positive
2022-01-12,O_positive
2022-01-12,O_positive
2022-01-12,O_positive
2022-01-12,A_positive
2022-01-12,O_positive
2022-01-12,A_positive
2022-01-12,O_positive
2022-01-12,A_positive
2022-01-12,A_positive
2022-01-12,A_positive
2022-01-12,A_positive
2022-01-12,O_positive
2022-01-12,O_positive
2022-01-12,A_positive
2022-01-12,O_positive
2022-01-12,O_positive
2022-01-12,AB_positive
2022-01-12,A_positive
2022-01-12,A_positive
2022-01-12,O_positive
2022-01-12,A_positive
2022-01-12,O_negative
2022-01-12,O_positive
2022-01-12,O_positive
2022-01-12,A_positive
2022-01-12,O_positive
2022-01-12,O_positive
2022-01-12,B_positive
2022-01-12,O_negative
2022-01-13,O_positive
2022-01-13,O_positive
2022-01-13,B_positive
2022-01-13,A_positive
2022-01-13,AB_positive
2022-01-13,O_positive
2022-01-13,A_positive
2022-01-13,A_positive
2022-01-13,O_positive
2022-01-13,B_positive
2022-01-13,B_positive
2022-01-13,A_positive
2022-01-13,A_positive
2022-01-13,O_positive
2022-01-13,A_positive
2022-01-13,B_positive
2022-01-13,A_positive
2022-01-13,A_negative
2022-01-13,A_positive
2022-01-13,A_positive
2022-01-13,A_positive
2022-01-13,B_positive
2022-01-13,O_positive
2022-01-13,O_positive
2022-01-13,B_positive
2022-01-13,B_positive
2022-01-13,B_positive
2022-01-14,AB_positive
2022-01-14,A_positive
2022-01-14,O_positive
2022-01-14,A_negative
2022-01-14,A_positive
2022-01-14,O_positive
2022-01-14,A_positive
2022-01-14,A_positive
2022-01-14,O_positive
2022-01-14,O_positive
2022-01-14,B_negative
2022-01-14,B_positive
2022-01-14,O_positive
2022-01-14,O_positive
2022-01-14,O_positive
2022-01-14,B_negative
2022-01-14,O_positive
2022-01-14,O_positive
2022-01-14,B_negative
2022-01-15,A_positive
2022-01-15,A_positive
2022-01-15,O_positive
2022-01-15,B_positive
2022-01-15,O_negative
2022-01-15,O_positive
2022-01-15,O_negative
2022-01-15,B_positive
2022-01-15,O_positive
2022-01-15,O_positive
2022-01-15,O_positive
2022-01-15,O_positive
2022-01-15,O_positive
2022-01-15,O_positive
2022-01-15,O_positive
2022-01-15,O_positive
2022-01-15,A_positive
2022-01-15,O_positive
2022-01-15,A_positive
2022-01-15,O_negative
2022-01-15,A_positive
2022-01-15,A_positive
2022-01-15,B_positive
2022-01-15,O_positive
2022-01-15,A_negative
2022-01-15,A_positive
2022-01-15,O_positive
2022-01-15,A_positive
2022-01-15,A_positive
2022-01-15,O_positive
2022-01-15,B_positive
2022-01-15,A_positive
2022-01-15,O_negative
2022-01-15,O_positive
2022-01-15,A_positive
2022-01-15,O_positive
2022-01-15,O_positive
2022-01-15,A_negative
2022-01-15,O_negative
2022-01-15,B_negative
2022-01-15,A_positive
2022-01-15,O_positive
2022-01-15,B_positive
2022-01-15,A_positive
2022-01-15,O_positive
2022-01-15,A_positive
2022-01-15,O_positive
2022-01-15,B_positive
2022-01-15,O_positive
2022-01-15,O_negative
2022-01-15,B_positive
2022-01-15,O_positive
2022-01-15,AB_positive
2022-01-15,A_positive
2022-01-15,O_positive
2022-01-15,A_negative
2022-01-15,A_positive
2022-01-15,B_positive
2022-01-15,B_positive
2022-01-15,O_positive
2022-01-15,O_negative
2022-01-15,B_positive
2022-01-15,O_positive
2022-01-15,O_positive
2022-01-15,A_positive
2022-01-15,O_positive
2022-01-15,A_positive
2022-01-15,O_positive
2022-01-15,O_positive
2022-01-15,A_positive
2022-01-15,A_positive
2022-01-15,AB_positive
2022-01-16,A_positive
2022-01-16,O_negative
2022-01-16,O_positive
2022-01-16,B_positive
2022-01-16,O_positive
2022-01-16,A_positive
2022-01-16,O_negative
2022-01-16,A_positive
2022-01-16,A_positive
2022-01-16,O_positive
